language,mode,command,description
cn,EX 命令,:!,过滤行，或可通过外部命令执行之
cn,EX 命令,:!!,"重复上次的 "":!"" 命令"
cn,EX 命令,:#,"等同于 "":number"""
cn,EX 命令,:&,"重复上次的 "":substitute"""
cn,EX 命令,:*,执行寄存器的内容
cn,EX 命令,:<,将行左移一个 'shiftwidth'
cn,EX 命令,:=,显示光标所在的行号
cn,EX 命令,:>,将行右移一个 'shiftwidth'
cn,EX 命令,:@,执行寄存器的内容
cn,EX 命令,:@@,"重复上次的 "":@"""
cn,EX 命令,:ab[breviate],输入缩写
cn,EX 命令,:abc[lear],删除所有的缩写
cn,EX 命令,:abo[veleft],使得分割的窗口出现在左侧或者上方
cn,EX 命令,:al[l],为参数列表的每个文件打开一个窗口
cn,EX 命令,:am[enu],为所有模式输入菜单项
cn,EX 命令,:an[oremenu],为所有模式输入菜单项，不会被重新映射
cn,EX 命令,:a[ppend],附加文本
cn,EX 命令,:arga[dd],增加项目到参数列表中
cn,EX 命令,:argd[elete],从参数列表中删除项目
cn,EX 命令,:argdo,在参数列表上的所有项目上执行一个命令
cn,EX 命令,:arge[dit],增加项目到参数列表中并编辑之
cn,EX 命令,:argg[lobal],定义全局参数列表
cn,EX 命令,:argl[ocal],定义本地参数列表
cn,EX 命令,:ar[gs],显示参数列表
cn,EX 命令,:argu[ment],转到参数列表一个指定的文件
cn,EX 命令,:as[cii],显示光标所在的字符的 ascii 值
cn,EX 命令,:aug[roup],选择要用的自动命令组
cn,EX 命令,:aun[menu],删除所有模式下的菜单
cn,EX 命令,:au[tocmd],输入或者显示自动命令
cn,EX 命令,:bad[d],增加缓冲区到缓冲区列表
cn,EX 命令,:ba[ll],为缓冲区列表里的每个缓冲区打开一个窗口
cn,EX 命令,:bd[elete],从缓冲区列表删除缓冲区
cn,EX 命令,:be[have],设置鼠标和选择行为
cn,EX 命令,:bel[owright],使得分割的窗口出现在右侧或者下方
cn,EX 命令,:bf[irst],转到缓冲区列表里的第一个缓冲区
cn,EX 命令,:bl[ast],转到缓冲区列表里的最后一个缓冲区
cn,EX 命令,:bm[odified],转到缓冲区列表里的下一个修改过的缓冲区
cn,EX 命令,:bn[ext],转到缓冲区列表里的下一个缓冲区
cn,EX 命令,:bN[ext],转到缓冲区列表里的上一个缓冲区
cn,EX 命令,:bo[tright],使得分割的窗口出现在最右侧或者下方
cn,EX 命令,:bp[revious],转到缓冲区列表里的上一个缓冲区
cn,EX 命令,:brea[k],跳出 while 循环
cn,EX 命令,:breaka[dd],增加调试器断点
cn,EX 命令,:breakd[el],删除调试器断点
cn,EX 命令,:breakl[ist],列出调试器断点
cn,EX 命令,:br[ewind],转到缓冲区列表里的第一个缓冲区
cn,EX 命令,:bro[wse],使用文件选择对话框
cn,EX 命令,:bufdo,为所有列表内缓冲区执行命令
cn,EX 命令,:b[uffer],转到缓冲区列表里的特定缓冲区
cn,EX 命令,:buffers,列出缓冲区列表里的所有文件
cn,EX 命令,:bun[load],卸载指定的缓冲区
