language,mode,command,description
en,Command-line editing,<BS>,delete the character in front of the cursor
en,Command-line editing,{char1} <BS> {char2},enter digraph when 'digraph' is on
en,Command-line editing,<C-Left>,cursor one word left
en,Command-line editing,<CR>,execute entered command
en,Command-line editing,<C-Right>,cursor one word right
en,Command-line editing,CTRL-[,same as <Esc>
en,Command-line editing,CTRL-],trigger abbreviation
en,Command-line editing,CTRL-^,toggle use of |:lmap| mappings
en,Command-line editing,CTRL-_,"when 'allowrevins' set: change language (Hebrew, Farsi)"
en,Command-line editing,CTRL-A,do completion on the pattern in front of the cursor and insert all matches
en,Command-line editing,CTRL- a - d,reserved for extensions
en,Command-line editing,CTRL-B,cursor to begin of command-line
en,Command-line editing,CTRL-C,same as <Esc>
en,Command-line editing,CTRL- CTRL-G,"go to mode specified with 'insertmode', abandon command-line"
en,Command-line editing,CTRL- CTRL-N,"go to Normal mode, abandon command-line"
en,Command-line editing,CTRL-D,list completions that match the pattern in front of the cursor
en,Command-line editing,CTRL-E,cursor to end of command-line
en,Command-line editing,CTRL- e {expr},replace the command line with the result of {expr}
en,Command-line editing,CTRL-F,default value for 'cedit': opens the command-line window; otherwise not used
en,Command-line editing,CTRL- f - z,reserved for extensions
en,Command-line editing,CTRL-H,same as <BS>
en,Command-line editing,CTRL-I,same as <Tab>
en,Command-line editing,CTRL-J,same as <CR>
en,Command-line editing,CTRL-K {char1} {char2},enter digraph
en,Command-line editing,CTRL-L,do completion on the pattern in front of the cursor and insert the longest common part
en,Command-line editing,CTRL-M,same as <CR>
en,Command-line editing,CTRL-N,"after using 'wildchar' with multiple matches: go to next match, otherwise: same as <Down>"
en,Command-line editing,CTRL-P,"after using 'wildchar' with multiple matches: go to previous match, otherwise: same as <Up>"
en,Command-line editing,CTRL-Q,"same as CTRL-V, unless it's used for terminal control flow"
en,Command-line editing,"CTRL-R {0-9a-z""%#*:= CTRL-F CTRL-P CTRL-W CTRL-A}",insert the contents of a register or object under the cursor as if typed
en,Command-line editing,"CTRL-R CTRL-R {0-9a-z""%#*:= CTRL-F CTRL-P CTRL-W CTRL-A}",insert the contents of a register or object under the cursor literally
en,Command-line editing,CTRL-S,(used for terminal control flow)
en,Command-line editing,CTRL-U,remove all characters
en,Command-line editing,CTRL-V,"insert next non-digit literally, insert three digit decimal number as a single byte."
en,Command-line editing,CTRL-W,delete the word in front of the cursor
en,Command-line editing,CTRL-Y,copy (yank) modeless selection
en,Command-line editing,<Del>,delete the character under the cursor
en,Command-line editing,<Down>,recall next command-line from history that matches pattern in front of the cursor
en,Command-line editing,<End>,cursor to end of command-line
en,Command-line editing,<Esc>,abandon command-line without executing it
en,Command-line editing,<Home>,cursor to start of command-line
en,Command-line editing,<Insert>,toggle insert/overstrike mode
en,Command-line editing,<Left>,cursor left
en,Command-line editing,<LeftMouse>,cursor at mouse click
en,Command-line editing,<NL>,same as <CR>
en,Command-line editing,<PageDown>,same as <S-Down>
en,Command-line editing,<PageUp>,same as <S-Up>
en,Command-line editing,<Right>,cursor right
en,Command-line editing,<S-Down>,recall next command-line from history
en,Command-line editing,<S-Left>,cursor one word left
en,Command-line editing,<S-Right>,cursor one word right
en,Command-line editing,<S-Tab>,same as CTRL-P
en,Command-line editing,<S-Up>,recall previous command-line from history
en,Command-line editing,<Tab>,if 'wildchar' is <Tab>: Do completion on the pattern in front of the cursor
en,Command-line editing,<Up>,recall previous command-line from history that matches pattern in front of the cursor
en,Command-line editing,'wildchar',Do completion on the pattern in front of the cursor (default: <Tab>)
en,EX commands,:!,filter lines or execute an external command
en,EX commands,:!!,"repeat last "":!"" command"
en,EX commands,:#,"same as "":number"""
en,EX commands,:&,"repeat last "":substitute"""
en,EX commands,:*,execute contents of a register
en,EX commands,:<,shift lines one 'shiftwidth' left
en,EX commands,:=,print the cursor line number
en,EX commands,:>,shift lines one 'shiftwidth' right
en,EX commands,:@,execute contents of a register
en,EX commands,:@@,"repeat the previous "":@"""
en,EX commands,:~,"repeat last "":substitute"""
en,EX commands,:ab[breviate],enter abbreviation
en,EX commands,:abc[lear],remove all abbreviations
