language,mode,command,description
jp,Exコマンドの範囲,%,"1,$と同じ(＝ファイル全体)"
jp,Exコマンドの範囲,*,"'<,'>と同じ(＝ビジュアルモードの選択範囲)"
jp,Exコマンドの範囲,",",２つの行の範囲
jp,Exコマンドの範囲,.,現在行
jp,Exコマンドの範囲,;,同上。最初の指定行から次の指定範囲まで
jp,Exコマンドの範囲,$,ファイルの最終行
jp,Exコマンドの範囲,+[num],直前の行指定(デフォルト:1)に[num]を加算したもの
jp,Exコマンドの範囲,-[num],直前の行指定(デフォルト:1)から[num]を減算したもの
jp,Exコマンドの範囲,{number},ファイル中の行番号
jp,Exコマンドの範囲,/{pattern}[/],{pattern} に合致する行の次の行
jp,Exコマンドの範囲,?{pattern}[?],{pattern} に合致する行の前の行
jp,Exコマンドの範囲,'t,マーク t の行
jp,Undo/Redo コマンド,N  CTRL-R,最後の N 回分のアンドゥを取り消す(redo)
jp,Undo/Redo コマンド,N  u,最後の N 回分の作業をアンドゥ
jp,Undo/Redo コマンド,U,行全体への変更を取り消す
jp,'wrap'がoffになっている時のみ有効,N  zh,画面を N 文字、右へスクロール
jp,'wrap'がoffになっている時のみ有効,N  zH,画面桁数の半分だけ、右へスクロール
jp,'wrap'がoffになっている時のみ有効,N  zl,画面を N 文字、左へスクロール
jp,'wrap'がoffになっている時のみ有効,N  zL,画面桁数の半分だけ、左へスクロール
jp,!ありの場合: 現在のバッファに対する変更は破棄して、コマンド実行,:e[dit][!],現在のバッファ内容を再読み込み
jp,!ありの場合: 現在のバッファに対する変更は破棄して、コマンド実行,:e[dit][!] {file},{file}を編集
jp,!ありの場合: 現在のバッファに対する変更は破棄して、コマンド実行,:ene[w][!],新たな名前なしバッファを編集
jp,!ありの場合: 現在のバッファに対する変更は破棄して、コマンド実行,:fin[d][!] {file},{file} を'path' から探し、編集
jp,コマンドラインの編集,<BS>,カーソルの直前の文字を削除
jp,コマンドラインの編集,CTRL-B/CTRL-E,カーソルを行頭、行末に移動
jp,コマンドラインの編集,"CTRL-R {0-9a-z""%#:-=}",レジスタの内容を挿入する
jp,コマンドラインの編集,CTRL-U,全文字を削除
jp,コマンドラインの編集,CTRL-V {char},{char}を文字として挿入する(CTRL文字など)
jp,コマンドラインの編集,CTRL-V {number},文字コードを10進数入力する(最大３桁まで)
jp,コマンドラインの編集,CTRL-W,カーソルの直前の文字を削除
jp,コマンドラインの編集,<Del>,カーソル位置の文字を削除
jp,コマンドラインの編集,<Esc>,コマンドラインを破棄する('wildchar'が<Esc>の場合は２回押す)
jp,コマンドラインの編集,:his[tory],コマンドライン履歴を表示
jp,コマンドラインの編集,<Left>/<Right>,カーソルを左右に移動
jp,コマンドラインの編集,<S-Left>/<S-Right>,カーソルを単語単位で左右に移動
jp,コマンドラインの編集,<S-Up>/<S-Down>,コマンドラインの履歴を呼び出す
