language,mode,command,description
tw,EX 指令,:!,過濾行，或可通過外部指令執行之。
tw,EX 指令,:!!,"重複上次的 "":!"" 指令。"
tw,EX 指令,:#,"等同於 "":number""。"
tw,EX 指令,:&,"重複上次的 "":substitute""。"
tw,EX 指令,:*,執行暫存器的內容。
tw,EX 指令,:<,將行左移一個 'shiftwidth'。
tw,EX 指令,:=,顯示游標所在的行號。
tw,EX 指令,:>,將行右移一個 'shiftwidth'。
tw,EX 指令,:@,執行暫存器的內容。
tw,EX 指令,:@@,"重複上次的 "":@""。"
tw,EX 指令,:ab[breviate],輸入縮寫。
tw,EX 指令,:abc[lear],刪除所有的縮寫。
tw,EX 指令,:abo[veleft],使得分割的視窗出現在左側或者上方。
tw,EX 指令,:al[l],為參數清單的每個檔案開啟一個視窗。
tw,EX 指令,:am[enu],為所有模式輸入選單項。
tw,EX 指令,:an[oremenu],為所有模式輸入選單項，不會被重新映射。
tw,EX 指令,:a[ppend],附加 text。
tw,EX 指令,:arga[dd],增加項目到參數清單中。
tw,EX 指令,:argd[elete],從參數清單中刪除項目。
tw,EX 指令,:argdo,在參數清單上的所有項目上執行一個指令。
tw,EX 指令,:arge[dit],增加項目到參數清單中並編輯之。
tw,EX 指令,:argg[lobal],定義全域參數清單。
tw,EX 指令,:argl[ocal],定義本地參數清單。
tw,EX 指令,:ar[gs],顯示參數清單。
tw,EX 指令,:argu[ment],轉到參數清單一個指定的檔案。
tw,EX 指令,:as[cii],顯示游標所在的字元的 ascii 值。
tw,EX 指令,:aug[roup],選擇要用的自動指令組。
tw,EX 指令,:aun[menu],刪除所有模式下的選單。
tw,EX 指令,:au[tocmd],輸入或者顯示自動指令。
tw,EX 指令,:bad[d],增加緩衝區到緩衝區清單。
tw,EX 指令,:ba[ll],為緩衝區清單裡的每個緩衝區開啟一個視窗。
tw,EX 指令,:bd[elete],從緩衝區清單刪除緩衝區。
tw,EX 指令,:be[have],設定滑鼠和選擇行為。
tw,EX 指令,:bel[owright],使得分割的視窗出現在右側或者下方。
tw,EX 指令,:bf[irst],轉到緩衝區清單裡的第一個緩衝區。
tw,EX 指令,:bl[ast],轉到緩衝區清單裡的最後一個緩衝區。
tw,EX 指令,:bm[odified],轉到緩衝區清單裡的下一個修改過的緩衝區。
tw,EX 指令,:bn[ext],轉到緩衝區清單裡的下一個緩衝區。
tw,EX 指令,:bN[ext],轉到緩衝區清單裡的上一個緩衝區。
tw,EX 指令,:bo[tright],使得分割的視窗出現在最右側或者下方。
tw,EX 指令,:bp[revious],轉到緩衝區清單裡的上一個緩衝區。
tw,EX 指令,:brea[k],跳出 while 循環。
tw,EX 指令,:breaka[dd],增加調試器斷點。
tw,EX 指令,:breakd[el],刪除調試器斷點。
tw,EX 指令,:breakl[ist],列出調試器斷點。
tw,EX 指令,:br[ewind],轉到緩衝區清單裡的第一個緩衝區。
tw,EX 指令,:bro[wse],使用檔案選擇對話框。
tw,EX 指令,:bufdo,為所有清單內緩衝區執行指令。
tw,EX 指令,:b[uffer],轉到緩衝區清單裡的特定緩衝區。
tw,EX 指令,:buffers,列出緩衝區清單裡的所有檔案。
tw,EX 指令,:bun[load],卸載指定的緩衝區。
tw,EX 指令,:bw[ipeout],真正刪除一個緩衝區。
tw,EX 指令,:ca[bbrev],"類似於 "":abbreviate""，但用於命令列模式。"
tw,EX 指令,:cabc[lear],清除所有縮寫，用於命令列模式。
tw,EX 指令,:caddb[uffer],通過緩衝區補充錯誤。
tw,EX 指令,:cad[dexpr],通過表達式補充錯誤。
tw,EX 指令,:caddf[ile],加入錯誤訊息到當前 quickfix 清單。
tw,EX 指令,:cal[l],調用函數。
tw,EX 指令,:cat[ch],:try 指令的一部分。
tw,EX 指令,:cb[uffer],分析錯誤訊息並跳轉到第一個。
tw,EX 指令,:cc,跳轉到特定的錯誤。
tw,EX 指令,:ccl[ose],關閉 quickfix 視窗。
tw,EX 指令,:cd,變更目錄。
tw,EX 指令,:ce[nter],排版行，使其居中對齊。
tw,EX 指令,:cex[pr],從表達式裡讀取錯誤並跳轉到第一個。
tw,EX 指令,:cf[ile],讀入含有錯誤訊息的檔案，並跳轉到第一個。
tw,EX 指令,:cfir[st],跳轉到指定的錯誤上，預設為第一個。
tw,EX 指令,:cgetb[uffer],從緩衝區裡得到錯誤。
tw,EX 指令,:cgete[xpr],從表達實裡得到錯誤。
tw,EX 指令,:cg[etfile],讀入含有錯誤訊息的檔案。
tw,EX 指令,:c[hange],替換一行或若干行。
tw,EX 指令,:cha[nges],顯示修改的清單。
tw,EX 指令,:chd[ir],變更當前目錄。
tw,EX 指令,:che[ckpath],列出包含的標頭檔。
tw,EX 指令,:checkt[ime],檢查載入緩衝區的時間標籤。
tw,EX 指令,:cla[st],跳轉到指定的錯誤上，預設為最後一個。
tw,EX 指令,:cl[ist],列出所有錯誤。
tw,EX 指令,:clo[se],變更當前視窗。
tw,EX 指令,:cm[ap],"類似於 "":map""，但用於命令列模式。"
tw,EX 指令,:cmapc[lear],清除所有映射，用於命令列模式。
tw,EX 指令,:cme[nu],為命令列模式增加選單。
tw,EX 指令,:cnew[er],跳轉到下一個較新的錯誤清單。
tw,EX 指令,:cn[ext],跳轉到下一個錯誤。
tw,EX 指令,:cN[ext],跳轉到上一個錯誤。
tw,EX 指令,:cnf[ile],跳轉到下一個檔案的第一個錯誤。
tw,EX 指令,:cNf[ile],跳轉到前一個檔案的最後一個錯誤。
tw,EX 指令,:cnorea[bbrev],"類似於 "":noreabbrev""，但用於命令列模式。"
tw,EX 指令,:cno[remap],"類似於 "":noremap""，但用於命令列模式。"
tw,EX 指令,:cnoreme[nu],"類似於 "":noremenu""，但用於命令列模式。"
tw,EX 指令,:col[der],跳轉到上一個較老的錯誤清單。
tw,EX 指令,:colo[rscheme],載入特定的色彩方案。
tw,EX 指令,:comc[lear],清除所有用戶自定的指令。
tw,EX 指令,:com[mand],建立用戶自定的指令。
tw,EX 指令,:comp[iler],為特定編譯器設定選項。
tw,EX 指令,:conf[irm],需要確認時，提示用戶。
tw,EX 指令,:con[tinue],回到 :while 開始處。
tw,EX 指令,:cope[n],開啟 quickfix 視窗。
tw,EX 指令,:co[py],複製行。
tw,EX 指令,:cpf[ile],跳轉到上一個檔案的最後一個錯誤。
tw,EX 指令,:cp[revious],跳轉到上一個錯誤。
tw,EX 指令,:cq[uit],退出 Vim，帶錯誤碼。
tw,EX 指令,:cr[ewind],跳到指定的錯誤，預設為第一個。
tw,EX 指令,:cs[cope],執行 cscope 指令。
tw,EX 指令,:cst[ag],使用 cscope 來跳轉到標籤上。
tw,EX 指令,:cuna[bbrev],"類似於 "":unabbrev""，但用於命令列模式。"
tw,EX 指令,:cu[nmap],"類似於 "":unmap""，但用於命令列模式。"
tw,EX 指令,:cunme[nu],刪除命令列的選單。
tw,EX 指令,:cw[indow],開啟或者關閉 quickfix 視窗。
tw,EX 指令,:deb[ug],在調試模式執行指令。
tw,EX 指令,:debugg[reedy],從正常的輸入那裡讀取調試模式指令。
tw,EX 指令,:delc[ommand],刪除用戶自定的指令。
tw,EX 指令,:d[elete],刪除行。
tw,EX 指令,:delf[unction],刪除用戶函數。
tw,EX 指令,:delm[arks],刪除位置標記。
tw,EX 指令,:diffg[et],刪除該緩衝區的所有差異。
tw,EX 指令,:diffo[ff],關閉 diff 模式。
tw,EX 指令,:diffp[atch],應用補丁然後顯示差異。
tw,EX 指令,:diffpu[t],刪除另外一個緩衝區的差異。
tw,EX 指令,:diffs[plit],顯示和另外一個檔案的差異。
tw,EX 指令,:diffthis,使得當前視窗成為 diff 視窗。
tw,EX 指令,:dif[fupdate],更新 'diff' 緩衝區。
tw,EX 指令,:dig[raphs],顯示或者輸入二合字母。
tw,EX 指令,:di[splay],顯示暫存器。
tw,EX 指令,:dj[ump],跳轉到 #define。
tw,EX 指令,:dl[ist],列出所有的 #define。
tw,EX 指令,:doautoa[ll],在所有載入的緩衝區上應用自動指令。
tw,EX 指令,:do[autocmd],在該緩衝區應用自動指令。
tw,EX 指令,:dr[op],跳到編輯某檔案的視窗，不成功則在當前視窗編輯之。
tw,EX 指令,:ds[earch],列出一個 #define。
tw,EX 指令,:dsp[lit],分割視窗並跳轉到 #define。
tw,EX 指令,:ea[rlier],回到舊的變更，還原。
tw,EX 指令,:ec[ho],回顯表達式結果。
tw,EX 指令,:echoe[rr],類似於 :echo，如同錯誤一樣顯示和使用歷史。
tw,EX 指令,:echoh[l],為 echo 等指令設定高亮 (highlight) 。
tw,EX 指令,:echom[sg],等同於 :echo，在歷史裡放置消息。
tw,EX 指令,:echon,等同於 :echo，但不留 <EOL>。
tw,EX 指令,:e[dit],編輯檔案。
tw,EX 指令,:el[se],:if 指令的一部分。
tw,EX 指令,:elsei[f],:if 指令的一部分。
tw,EX 指令,:em[enu],按名字執行選單。
tw,EX 指令,:endfo[r],結束最近的 :for。
tw,EX 指令,:endf[unction],結束用戶函數。
